Function,Function code,Major Account Head Description,Major Account Code,Detailed Account Code Description,Detailed Account Code,2012-13 Actuals, 2013-14 Budget Estimates,2013-14 Revised Estimates,2013-14 Actuals, 2014-15 Budget Estimates,2014-15 Revised Estimates,2014-15 Actuals,2015-16 Budget Estimates,2015-16 Revised Estimates,2016-17  Budget Estimates,record_type
General Administration,201.0,Machinery & Equipment,4110.0,Purchase of Office Equipment,4120081,22.53,33.0,10.0,4.24506,20.0,450,0.42,250,462.0,242.0,record
General Administration,201.0,Furniture and Fixtures,4111.0,"New Furniture, Fixture & Fittings",4120091,7.3,80.0,37.0,0.51994,40.0,100,0.39,100,84.1,94.0,record
Total for General Administration (0201),,,,,,29.83,113.0,47.0,4.765,60.0,550,0.81,350,546.1,336.0,total
Information Technology,203.0,Machinery & Equipment,4110.0,"Purchase and Installation of Computers, Servers & Network Equipment",4120082,156.75,525.0,423.0,114.62413,650.0,8000,572.89,2500,1510.0,1615.0,record
Information Technology,203.0,Machinery & Equipment,4110.0,ERP Licenses/Implementation,4120089,32.0,30.0,17.0,0.0,75.0,1800,0.0,2000,500.0,500.0,record
Total for Information Technology (0203),,,,,,188.75,555.0,440.0,114.62413,725.0,9800,572.89,4500,2010.0,2115.0,total
City and Town Planning,1100.0,Land Improvements,4101.0,Land Acquisition,4120011,0.0,1000.0,770.0,0.0,880.0,1000,-206.7,1000,500.0,500.0,record
Total for City and Town Planning (1100),,,,,,0.0,1000.0,770.0,0.0,880.0,1000,-206.7,1000,500.0,500.0,total
Street Lighting,2400.0,Street Lighting,4108.0,Erection and Installation of Modern Lighting on Major Roads,4120061,1023.31,2250.0,3658.0,730.97965,4800.0,1700,369.9,2000,1280.0,1412.5,record
Street Lighting,2400.0,Street Lighting,4108.0,Erection and Installation of Modern Lighting on Minor Roads,4120062,759.62,2150.0,1048.0,821.30417,2150.0,1300,1263.68,1500,2072.55,2512.3,record
Total for Street Lighting (2400),,,,,,1782.93,4400.0,4706.0,1552.28382,6950.0,3000,1633.58,3500,3352.55,3924.8,total
Transportation Planning,2602.0,Land Improvements,4101.0,Construction & Improvement of Traffic Islands and Central Media,4120016,8.65,1351.0,1352.0,369.32545,278.0,500,166.39,400,119.0,124.0,record
Transportation Planning,2602.0,Roads & Pavements,4104.0,Junction Improvements,4120045,550.82,2500.0,2500.0,409.56198,2800.0,2800,1475.7,1000,1000.0,1100.0,record
Transportation Planning,2602.0,Multi Model Transport,4105.0,Traffic Signals & Signage,4120047,62.84,1600.0,1600.0,143.78942,960.0,1000,2235.89,600,600.0,650.0,record
Total for Transportation Planning (2602),,,,,,622.31,5451.0,5452.0,922.67685,4038.0,4300,3877.98,2000,1719.0,1874.0,total
Public Works-General,2801.0,Buildings,4102.0,Construction of Office Buildings,4120021,805.43,3000.0,1701.03,168.48413,5700.0,1500,478.68,1700,776.5,939.15,record
Public Works-General,2801.0,Buildings,4102.0,Construction of Community Buildings,4120023,561.84,1491.0,1700.0,2465.40789,5000.0,3400,3287.91,7000,7615.0,8146.5,record
Public Works-General,2801.0,"Bridges, Flyovers & Subways",4103.0,"Construction of Bridges, ROB, RUB, culverts & flyovers",4120031,633.16,3500.0,3487.14,1676.79266,4140.0,9000,2061.05,2500,2796.0,3324.22,record
Public Works-General,2801.0,"Bridges, Flyovers & Subways",4103.0,Construction of flyovers,4120032,128.88,2400.0,2400.0,382.7601,80.0,1000,2194.17,1000,1000.0,1100.0,record
Public Works-General,2801.0,"Bridges, Flyovers & Subways",4103.0,Construction of subways & Foot Over Bridges,4120034,2.81,300.0,190.0,0.0,185.0,180,283.73,200,305.0,357.0,record
Public Works-General,2801.0,Land Improvements,4101.0,Heritage Conservation,4120035,0.0,0.0,0.0,0.0,2000.0,1100,0.0,2000,855.0,850.0,record
Public Works-General,2801.0,Land Improvements,4101.0,Heritage Tourism Corridor,4120036,0.0,0.0,0.0,0.0,3000.0,600,0.0,2000,1350.0,1333.0,record
Public Works-General,2801.0,Land Improvements,4101.0,Gateway of Hyderabad,4120037,0.0,0.0,0.0,0.0,840.0,1000,0.0,2000,1200.0,1050.0,record
Public Works-General,2801.0,Buildings,4102.0,Construction & Improvements of Fish Markets,4120038,0.0,0.0,1000.0,0.0,626.0,500,0.0,7000,2000.0,2500.0,record
Public Works-General,2801.0,Multi Model Transport,4105.0,Innovative Projects,4120039,0.0,0.0,0.0,0.0,5000.0,0,0.0,14200,10225.0,11150.0,record
Public Works-General,2801.0,Land Improvements,4101.0,Construction of Model Market,4120040,0.0,0.0,0.0,0.0,0.0,0,0.0,0,3000.0,3200.0,record
Public Works-General,2801.0,Roads & Pavements,4104.0,Major Road Development/Upgradation,4120041,12159.64,8145.0,12518.21,9901.22613,36000.0,13000,12438.57,100000,48514.0,85915.0,record
Public Works-General,2801.0,Roads & Pavements,4104.0,Minor Roads Development/Upgradation,4120042,1842.06,4500.0,2590.0,8758.414344,5130.0,11000,18192.39,10000,29029.18,24962.1,record
Public Works-General,2801.0,Roads & Pavements,4104.0,Road Widening,4120043,6571.23,18500.0,16287.16,8561.94482,25000.0,25000,11755.97,10000,22116.82,5653.2,record
Public Works-General,2801.0,Roads & Pavements,4104.0,Footpaths and Table Drains,4120044,0.0,1950.0,227.0,213.7889,420.0,500,258.32,500,647.0,771.7,record
Public Works-General,2801.0,Storm Water Drainage,4106.0,Construction & Improvements of Major Storm Water Drains,4120051,4608.93,7120.0,12894.45,5897.89773,18190.0,18000,4886.9,9000,10493.0,11044.5,record
Public Works-General,2801.0,Storm Water Drainage,4106.0,Construction & Improvements of Minor Storm Water Drains,4120052,5452.28,4100.0,3360.0,4605.38134,4100.0,6000,4845.01,6000,9257.0,8837.5,record
Public Works-General,2801.0,Water Supply & Sewerage,4107.0,Construction & Improvements of Rainwater Harvesting Pits,4120053,212.53,225.0,1250.0,319.49105,625.0,700,60.52,7500,3534.0,4268.9,record
Public Works-General,2801.0,Water Supply & Sewerage,4107.0,Construction & Improvements of Sewerage Lines,4120054,0.0,,0.0,1376.28144,0.0,1500,2716.34,14000,15825.0,13464.0,record
Public Works-General,2801.0,Water Supply & Sewerage,4107.0,Conservation of Rivers/Lakes,4120056,107.19,1000.0,787.83,93.10954,7000.0,2300,221.12,11000,4704.0,5573.4,record
Public Works-General,2801.0,Land Improvements,4101.0,Construction of Dhobighats,4120057,0.0,45.0,40.0,2.15415,45.0,100,5.9,1000,605.14,710.65,record
Public Works-General,2801.0,Land Improvements,4101.0,Construction & Improvements of Auto/Taxi Stands & Parking spaces,4120059,0.0,0.0,0.0,0.0,0.0,0,0.0,2000,900.0,1100.0,record
Public Works-General,2801.0,Land Improvements,4101.0,Construction of Busways,4120064,0.0,0.0,0.0,0.0,0.0,0,0.0,0,100.0,100.0,record
