Function,Function code,Major Account Head Description,Major Account Code,Detailed Account Code Description,Detailed Account Code,2012-13 Actuals, 2013-14 Budget Estimates,2013-14 Revised Estimates,2013-14 Actuals, 2014-15 Budget Estimates,2014-15 Revised Estimates,2014-15 Actuals,2015-16 Budget Estimates,2015-16 Revised Estimates,2016-17  Budget Estimates
General Administration,201,Machinery & Equipment,4110,Purchase of Office Equipment,4120081,22.53,33,10,4.24506,20,450,0.42,250,462,242
General Administration,201,Furniture and Fixtures,4111,"New Furniture, Fixture & Fittings",4120091,7.3,80,37,0.51994,40,100,0.39,100,84.1,94
Total for General Administration (0201),,,,,,29.83,113,47,4.765,60,550,0.81,350,546.1,336
Information Technology,203,Machinery & Equipment,4110,"Purchase and Installation of Computers, Servers & Network Equipment",4120082,156.75,525,423,114.62413,650,8000,572.89,2500,1510,1615
Information Technology,203,Machinery & Equipment,4110,ERP Licenses/Implementation,4120089,32,30,17,0,75,1800,0,2000,500,500
Total for Information Technology (0203),,,,,,188.75,555,440,114.62413,725,9800,572.89,4500,2010,2115
City and Town Planning,1100,Land Improvements,4101,Land Acquisition,4120011,0,1000,770,0,880,1000,-206.7,1000,500,500
Total for City and Town Planning (1100),,,,,,0,1000,770,0,880,1000,-206.7,1000,500,500
Street Lighting,2400,Street Lighting,4108,Erection and Installation of Modern Lighting on Major Roads,4120061,1023.31,2250,3658,730.97965,4800,1700,369.9,2000,1280,1412.5
Street Lighting,2400,Street Lighting,4108,Erection and Installation of Modern Lighting on Minor Roads,4120062,759.62,2150,1048,821.30417,2150,1300,1263.68,1500,2072.55,2512.3
Total for Street Lighting (2400),,,,,,1782.93,4400,4706,1552.28382,6950,3000,1633.58,3500,3352.55,3924.8
Transportation Planning,2602,Land Improvements,4101,Construction & Improvement of Traffic Islands and Central Media,4120016,8.65,1351,1352,369.32545,278,500,166.39,400,119,124
Transportation Planning,2602,Roads & Pavements,4104,Junction Improvements,4120045,550.82,2500,2500,409.56198,2800,2800,1475.7,1000,1000,1100
Transportation Planning,2602,Multi Model Transport,4105,Traffic Signals & Signage,4120047,62.84,1600,1600,143.78942,960,1000,2235.89,600,600,650
Total for Transportation Planning (2602),,,,,,622.31,5451,5452,922.67685,4038,4300,3877.98,2000,1719,1874
Public Works-General,2801,Buildings,4102,Construction of Office Buildings,4120021,805.43,3000,1701.03,168.48413,5700,1500,478.68,1700,776.5,939.15
Public Works-General,2801,Buildings,4102,Construction of Community Buildings,4120023,561.84,1491,1700,2465.40789,5000,3400,3287.91,7000,7615,8146.5
Public Works-General,2801,"Bridges, Flyovers & Subways",4103,"Construction of Bridges, ROB, RUB, culverts & flyovers",4120031,633.16,3500,3487.14,1676.79266,4140,9000,2061.05,2500,2796,3324.22
Public Works-General,2801,"Bridges, Flyovers & Subways",4103,Construction of flyovers,4120032,128.88,2400,2400,382.7601,80,1000,2194.17,1000,1000,1100
Public Works-General,2801,"Bridges, Flyovers & Subways",4103,Construction of subways & Foot Over Bridges,4120034,2.81,300,190,0,185,180,283.73,200,305,357
Public Works-General,2801,Land Improvements,4101,Heritage Conservation,4120035,0,0,0,0,2000,1100,0,2000,855,850
Public Works-General,2801,Land Improvements,4101,Heritage Tourism Corridor,4120036,0,0,0,0,3000,600,0,2000,1350,1333
Public Works-General,2801,Land Improvements,4101,Gateway of Hyderabad,4120037,0,0,0,0,840,1000,0,2000,1200,1050
Public Works-General,2801,Buildings,4102,Construction & Improvements of Fish Markets,4120038,0,0,1000,0,626,500,0,7000,2000,2500
Public Works-General,2801,Multi Model Transport,4105,Innovative Projects,4120039,0,0,0,0,5000,0,0,14200,10225,11150
Public Works-General,2801,Land Improvements,4101,Construction of Model Market,4120040,0,0,0,0,0,0,0,0,3000,3200
Public Works-General,2801,Roads & Pavements,4104,Major Road Development/Upgradation,4120041,12159.64,8145,12518.21,9901.22613,36000,13000,12438.57,100000,48514,85915
Public Works-General,2801,Roads & Pavements,4104,Minor Roads Development/Upgradation,4120042,1842.06,4500,2590,8758.414344,5130,11000,18192.39,10000,29029.18,24962.1
Public Works-General,2801,Roads & Pavements,4104,Road Widening,4120043,6571.23,18500,16287.16,8561.94482,25000,25000,11755.97,10000,22116.82,5653.2
Public Works-General,2801,Roads & Pavements,4104,Footpaths and Table Drains,4120044,0,1950,227,213.7889,420,500,258.32,500,647,771.7
Public Works-General,2801,Storm Water Drainage,4106,Construction & Improvements of Major Storm Water Drains,4120051,4608.93,7120,12894.45,5897.89773,18190,18000,4886.9,9000,10493,11044.5
Public Works-General,2801,Storm Water Drainage,4106,Construction & Improvements of Minor Storm Water Drains,4120052,5452.28,4100,3360,4605.38134,4100,6000,4845.01,6000,9257,8837.5
Public Works-General,2801,Water Supply & Sewerage,4107,Construction & Improvements of Rainwater Harvesting Pits,4120053,212.53,225,1250,319.49105,625,700,60.52,7500,3534,4268.9
Public Works-General,2801,Water Supply & Sewerage,4107,Construction & Improvements of Sewerage Lines,4120054,0,,0,1376.28144,0,1500,2716.34,14000,15825,13464
Public Works-General,2801,Water Supply & Sewerage,4107,Conservation of Rivers/Lakes,4120056,107.19,1000,787.83,93.10954,7000,2300,221.12,11000,4704,5573.4
Public Works-General,2801,Land Improvements,4101,Construction of Dhobighats,4120057,0,45,40,2.15415,45,100,5.9,1000,605.14,710.65
Public Works-General,2801,Land Improvements,4101,Construction & Improvements of Auto/Taxi Stands & Parking spaces,4120059,0,0,0,0,0,0,0,2000,900,1100
Public Works-General,2801,Land Improvements,4101,Construction of Busways,4120064,0,0,0,0,0,0,0,0,100,100
Public Works-General,2801,Machinery & Equipment,4110,Purchase of Office Equipment,4120081,9.6,57,20,8.05371,22,450,9.25,250,248,313
Public Works-General,2801,Machinery & Equipment,4110,"Purchase and Installation of Computers, Servers & Network Equipment",4120082,0,225,180,0,350,0,2.43,0,0,0
Public Works-General,2801,Furniture and Fixtures,4111,"New Furniture, Fixture & Fittings",4120091,44.17,260,110,90.20421,140,900,138.26,900,189.9,212
