Function,Function code,Major Account Head Description,Major Account Code,Detailed Account Code Description,Detailed Account Code,2012-13 Actuals, 2013-14 Budget Estimates,2013-14 Revised Estimates,2013-14 Actuals, 2014-15 Budget Estimates,2014-15 Revised Estimates,2014-15 Actuals,2015-16 Budget Estimates,2015-16 Revised Estimates,2016-17  Budget Estimates
General Body,101,Establishment Expenses,210,Basic Pay,2101001,0,0,0,0,0,0,12.52,0,48,52
General Body,101,Establishment Expenses,210,Dearness Allowance,2101002,0,0,0,0,0,0,58.81,0,32,35
General Body,101,Establishment Expenses,210,House Rent Allowance,2101003,0,0,0,0,0,0,12.74,0,38,42
General Body,101,Establishment Expenses,210,CCA,2101004,0,0,0,0,0,0,1.11,0,5,6
General Body,101,Establishment Expenses,210,Conveyance & Other Allowance,2101005,0,0,0,0,0,0,1.03,0,2.5,3
General Body,101,Establishment Expenses,210,Interim Relief,2101006,0,0,0,0,0,0,10.95,0,5,6
General Body,101,Establishment Expenses,210,Honorarium/ Sitting Fees to Corporators,2101009,87.52,300,178.11,77.65383,215.67,215,50.89,0,5,6
General Body,101,Establishment Expenses,210,Honorarium (Others),2101010,0,0,0,0,0,0,0,230,135,240
General Body,101,Establishment Expenses,210,Health care & Medical Insurance,2102017,14.04,10,20,35,25,40,-10,45,45,48
General Body,101,Establishment Expenses,210,Service Pension,2103001,0,0,0,0,0,0,38.78,0,2,3
General Body,101,Administrative Expenses,220,Releases from Mayors Discretionary Sanctions,2208003,19,300,300,51,300,300,9,50,40,42
Total for General Body (0101),,,,,,120.56,610,498.11,163.65383,540.67,555,185.83,325,357.5,483
General Administration,201,Establishment Expenses,210,Basic Pay,2101001,2157.92,2704.55,2400,2276.26696,2930,2860,2275.57,2920,4075.8,4244.34
General Administration,201,Establishment Expenses,210,Dearness Allowance,2101002,1047.37,912.12,640,1390.56362,950,1915,1769.06,1780,1444.98,1601.72
General Administration,201,Establishment Expenses,210,House Rent Allowance,2101003,620.27,710.94,570,645.90485,580,715,676.34,740,1234.75,1395.19
General Administration,201,Establishment Expenses,210,CCA,2101004,50.86,69.22,50,53.01636,50,77,52.26,92,101.75,128.19
General Administration,201,Establishment Expenses,210,Conveyance & Other Allowances,2101005,11.04,47.62,49.85,40.46245,46.4,95,127.03,90,190.51,206.04
General Administration,201,Establishment Expenses,210,Interim Relief,2101006,7.98,29.19,40,120.47371,50,490,550.45,440,332,144.6
General Administration,201,Establishment Expenses,210,Surrender Leave Encashment,2101007,0,0,0,0,0,0,103.98,0,148.89,114.63
